1.84,74.2,3
1.552,72.76,3
7,60,1
0.768,68.84,3
8.248,53.12,0
6.376,58.44,1
7.8,52,0
9,55,0
7.112,50.28,0
6.104,57.76,1
4.016,63.36,2
6.856,59.64,1
8.44,53.6,0
0,75.72,4
1.04,70.2,3
5.464,56.16,1
5.528,56.32,1
0.832,69.16,3
0.208,66.04,3
2.552,60.92,2
4.64,64.4,2
4.592,64.32,2
3.464,62.44,2
1.072,70.36,3
1.328,71.64,3
5.736,56.84,1
4.784,64.64,2
5.192,55.48,1
1.968,74.84,3
2.312,60.52,2
8.648,54.12,0
0,75.64,4
8.072,52.68,0
0,84.76,4
2,60,2
0.896,69.48,3
8.392,53.48,0
0,81.32,4
7.448,51.12,0
0,81.8,4
2.144,60.24,2
2.84,61.4,2
4.304,63.84,2
8.712,54.28,0
3.992,63.32,2
0,82.28,4
2.432,60.72,2
0,79.16,4
6.344,58.36,1
0,76.44,4
8.84,54.6,0
5.72,56.8,1
1.76,73.8,3
7.736,51.84,0
6.216,58.04,1
4.352,63.92,2
0,78.84,4
1.712,73.56,3
1.008,70.04,3
6.696,59.24,1
0,80.84,4
0.144,65.72,3
7.64,51.6,0
2.24,60.4,2
0,76.12,4
5.048,55.12,1
8.968,54.92,0
2.072,60.12,2
0,82.84,4
8.312,53.28,0
5.096,55.24,1
0,75.48,4
6.536,58.84,1
7.064,50.16,0
8.472,53.68,0
0,80.04,4
0,77,4
6.296,58.24,1
1.344,71.72,3
0,75,4
5.128,55.32,1
5.112,55.28,1
5.784,56.96,1
0,76.68,4
3.248,62.08,2
5.976,57.44,1
5.48,56.2,1
5.32,55.8,1
1.664,73.32,3
0,80.6,4
2.768,61.28,2
0.88,69.4,3
3.2,62,2
0,84.52,4
7.08,50.2,0
2.48,60.8,2
0,80.68,4
4.28,63.8,2
4.544,64.24,2
0,65,3
0,84.04,4
0,78.04,4
7.016,50.04,0
0,78.44,4
5.704,56.76,1
2.216,60.36,2
2.336,60.56,2
4.88,64.8,2
0,77.4,4
5.88,57.2,1
3.344,62.24,2
0,76.52,4
7.976,52.44,0
1.408,72.04,3
3.032,61.72,2
0,79.8,4
3.296,62.16,2
4.4,64,2
8.808,54.52,0
5.992,57.48,1
6.056,57.64,1
1.376,71.88,3
0,78.28,4
6.616,59.04,1
0.48,67.4,3
0,80.28,4
0,80.52,4
2.864,61.44,2
6.44,58.6,1
0,78.92,4
3.32,62.2,2
8.12,52.8,0
0,77.96,4
1.696,73.48,3
6.936,59.84,1
8.424,53.56,0
8.344,53.36,0
4.712,64.52,2
0,76.84,4
8.088,52.72,0
3.704,62.84,2
0.192,65.96,3
4.76,64.6,2
8.728,54.32,0
3.272,62.12,2
7.768,51.92,0
8.504,53.76,0
7.032,50.08,0
7.048,50.12,0
5.064,55.16,1
1.136,70.68,3
8.152,52.88,0
0,77.16,4
0,75.24,4
8.6,54,0
2.696,61.16,2
1.776,73.88,3
4.184,63.64,2
0,75.8,4
0,81.96,4
0,82.2,4
3.584,62.64,2
6.152,57.88,1
2.912,61.52,2
0,83.48,4
4.52,64.2,2
7.72,51.8,0
7.912,52.28,0
0,84.44,4
0,85,4
6.92,59.8,1
4.208,63.68,2
3.68,62.8,2
6.632,59.08,1
5.688,56.72,1
5.512,56.28,1
5.864,57.16,1
0,80.2,4
1.6,73,3
6.776,59.44,1
6.04,57.6,1
5.672,56.68,1
4.856,64.76,2
6.648,59.12,1
7.48,51.2,0
3.056,61.76,2
7.816,52.04,0
4.064,63.44,2
6.408,58.52,1
3.872,63.12,2
5.56,56.4,1
6.456,58.64,1
0,75.96,4
1.12,70.6,3
0,80.76,4
7.672,51.68,0
7.384,50.96,0
8.456,53.64,0
3.104,61.84,2
1.168,70.84,3
7.544,51.36,0
7.176,50.44,0
8.536,53.84,0
5,65,2
0,76.6,4
7.128,50.32,0
3.152,61.92,2
0,83.88,4
6.664,59.16,1
5.416,56.04,1
6.312,58.28,1
0.304,66.52,3
7.192,50.48,0
8.488,53.72,0
1.744,73.72,3
0.992,69.96,3
7.96,52.4,0
4.664,64.44,2
2.792,61.32,2
2.264,60.44,2
6.872,59.68,1
0,77.72,4
7.88,52.2,0
6.136,57.84,1
0.016,65.08,3
0,76.92,4
2.168,60.28,2
5,55,1
0,78.52,4
7.208,50.52,0
1.52,72.6,3
0,77.64,4
6.488,58.72,1
1.392,71.96,3
7.704,51.76,0
7.336,50.84,0
1.152,70.76,3
0,80.12,4
0.416,67.08,3
6.328,58.32,1
0,80.44,4
1.792,73.96,3
0.592,67.96,3
0,81.08,4
0.128,65.64,3
8.632,54.08,0
0.928,69.64,3
4.904,64.84,2
0.16,65.8,3
0.528,67.64,3
5.272,55.68,1
0,78.12,4
2.024,60.04,2
0.368,66.84,3
5.224,55.56,1
1.728,73.64,3
4.232,63.72,2
0.464,67.32,3
0,79.08,4
3.416,62.36,2
0,84.68,4
0.256,66.28,3
3.968,63.28,2
8.552,53.88,0
7.848,52.12,0
6.232,58.08,1
4.616,64.36,2
0.64,68.2,3
4.16,63.6,2
4.688,64.48,2
0,82.12,4
0,82.6,4
6.712,59.28,1
7.656,51.64,0
0,81.64,4
5.384,55.96,1
3.512,62.52,2
1.264,71.32,3
0,77.32,4
1.248,71.24,3
1.904,74.52,3
0.448,67.24,3
7.144,50.36,0
1.984,74.92,3
7.896,52.24,0
5.912,57.28,1
1.312,71.56,3
1.2,71,3
1.104,70.52,3
2.648,61.08,2
0,76.2,4
8.296,53.24,0
0,78.36,4
7.352,50.88,0
0,80.92,4
8.872,54.68,0
3.368,62.28,2
6.904,59.76,1
4.472,64.12,2
5.624,56.56,1
0.848,69.24,3
8.744,54.36,0
7.4,51,0
1.568,72.84,3
2.888,61.48,2
2.384,60.64,2
0,76.76,4
3.848,63.08,2
1.456,72.28,3
8.52,53.8,0
0.672,68.36,3
3.656,62.76,2
6.184,57.96,1
7.224,50.56,0
6.36,58.4,1
8.92,54.8,0
2,75,3
0.96,69.8,3
0.336,66.68,3
8.2,53,0
1.488,72.44,3
0,75.08,4
3.728,62.88,2
0,75.16,4
1.28,71.4,3
0,84.2,4
6.52,58.8,1
3.608,62.68,2
8.76,54.4,0
4.112,63.52,2
0,77.48,4
8.68,54.2,0
5.208,55.52,1
0.624,68.12,3
0,81.16,4
7.496,51.24,0
5.144,55.36,1
8.008,52.52,0
7.832,52.08,0
1.216,71.08,3
7.24,50.6,0
7.272,50.68,0
2.624,61.04,2
1.616,73.08,3
3.896,63.16,2
0,78.2,4
8.824,54.56,0
6.888,59.72,1
1.648,73.24,3
0,78.6,4
0.096,65.48,3
0,84.84,4
0,82.92,4
0.688,68.44,3
0,79.24,4
4.376,63.96,2
7,50,0
0,81.24,4
2.6,61,2
0.176,65.88,3
4.328,63.88,2
5.4,56,1
2.96,61.6,2
3.776,62.96,2
0,82.68,4
8.696,54.24,0
0.864,69.32,3
7.416,51.04,0
6.792,59.48,1
1.632,73.16,3
0,78.68,4
1.856,74.28,3
3.176,61.96,2
7.512,51.28,0
1.36,71.8,3
5.08,55.2,1
3.632,62.72,2
0,79.48,4
8.184,52.96,0
6.248,58.12,1
0,75.4,4
6.024,57.56,1
2.288,60.48,2
8.232,53.08,0
0.576,67.88,3
7.928,52.32,0
5.608,56.52,1
6.424,58.56,1
0.656,68.28,3
6.008,57.52,1
0,84.92,4
6.584,58.96,1
0,77.24,4
5.16,55.4,1
0,81.4,4
5.368,55.92,1
8.888,54.72,0
0.512,67.56,3
0.912,69.56,3
0.72,68.6,3
0.048,65.24,3
0.752,68.76,3
0,76.28,4
4.808,64.68,2
2.408,60.68,2
0.56,67.8,3
6.28,58.2,1
0.432,67.16,3
1.424,72.12,3
4.424,64.04,2
8.28,53.2,0
0,79.64,4
0,81.72,4
5.448,56.12,1
5.032,55.08,1
7.288,50.72,0
6.824,59.56,1
0,77.88,4
0.24,66.2,3
8.952,54.88,0
5.432,56.08,1
0,81.56,4
0,81,4
8.136,52.84,0
8.408,53.52,0
6.2,58,1
6.744,59.36,1
8.216,53.04,0
0,84.36,4
7.944,52.36,0
0,79.56,4
2.984,61.64,2
8.936,54.84,0
3.824,63.04,2
0.544,67.72,3
3.92,63.2,2
4.568,64.28,2
0,83.64,4
1.088,70.44,3
5.576,56.44,1
0,79.72,4
5.816,57.04,1
6.472,58.68,1
5.24,55.6,1
2.504,60.84,2
0,79.96,4
0,81.88,4
0.32,66.6,3
2.936,61.56,2
8.904,54.76,0
6.968,59.92,1
1.056,70.28,3
5.496,56.24,1
0.976,69.88,3
6.088,57.72,1
5.592,56.48,1
5.848,57.12,1
5.752,56.88,1
0,83.96,4
4.832,64.72,2
0,79.88,4
6.504,58.76,1
0,84.28,4
2.12,60.2,2
3.488,62.48,2
5.304,55.76,1
1.504,72.52,3
0.816,69.08,3
4.448,64.08,2
6.264,58.16,1
7.16,50.4,0
8.568,53.92,0
1.888,74.44,3
5.352,55.88,1
7.368,50.92,0
1.472,72.36,3
5.96,57.4,1
8.984,54.96,0
5.256,55.64,1
0,83.4,4
8.104,52.76,0
7.784,51.96,0
1.68,73.4,3
3.224,62.04,2
2.192,60.32,2
0,77.08,4
5.544,56.36,1
0.288,66.44,3
2.456,60.76,2
0,83.08,4
2.576,60.96,2
0,83.56,4
2.096,60.16,2
6.84,59.6,1
1.296,71.48,3
7.624,51.56,0
5.016,55.04,1
8.664,54.16,0
7.752,51.88,0
0.496,67.48,3
2.528,60.88,2
0,75.32,4
0.064,65.32,3
7.32,50.8,0
7.864,52.16,0
0,83.16,4
2.048,60.08,2
0,75.56,4
0,82.52,4
5.176,55.44,1
4.736,64.56,2
1.232,71.16,3
8.168,52.92,0
5.336,55.84,1
7.592,51.48,0
0.272,66.36,3
8.856,54.64,0
7.688,51.72,0
3.128,61.88,2
5.656,56.64,1
7.304,50.76,0
7.56,51.4,0
0,83.8,4
7.576,51.44,0
0,83,4
5.768,56.92,1
4.928,64.88,2
0,76.36,4
0.08,65.4,3
4.952,64.92,2
0,82.36,4
8.04,52.6,0
0.224,66.12,3
6.984,59.96,1
8.584,53.96,0
8.264,53.16,0
6.68,59.2,1
0,79.32,4
3.536,62.56,2
0.704,68.52,3
7.528,51.32,0
5.896,57.24,1
1.024,70.12,3
0,83.24,4
0.032,65.16,3
0,82.04,4
2.672,61.12,2
0,84.12,4
2.744,61.24,2
0.352,66.76,3
7.608,51.52,0
1.584,72.92,3
2.72,61.2,2
8.616,54.04,0
4.256,63.76,2
0.944,69.72,3
4.496,64.16,2
0.784,68.92,3
0,83.72,4
5.288,55.72,1
6.6,59,1
8.792,54.48,0
3.56,62.6,2
3.944,63.24,2
1.92,74.6,3
5.944,57.36,1
0.112,65.56,3
1.952,74.76,3
1.536,72.68,3
0,79,4
0,84.6,4
0.736,68.68,3
5.832,57.08,1
6.072,57.68,1
7.464,51.16,0
0,76.04,4
0.8,69,3
4.976,64.96,2
1.44,72.2,3
0,75.88,4
6.12,57.8,1
3.8,63,2
0.608,68.04,3
6.952,59.88,1
0.4,67,3
4.136,63.56,2
7.096,50.24,0
8.776,54.44,0
3.008,61.68,2
5.8,57,1
1.936,74.68,3
8.024,52.56,0
8.056,52.64,0
7.992,52.48,0
0,77.8,4
3.392,62.32,2
0,82.44,4
7.256,50.64,0
0,82.76,4
0,83.32,4
1.808,74.04,3
6.552,58.88,1
6.392,58.48,1
6.168,57.92,1
8.328,53.32,0
1.872,74.36,3
0,79.4,4
3.08,61.8,2
6.568,58.92,1
5.928,57.32,1
1.824,74.12,3
0,81.48,4
1.184,70.92,3
4.04,63.4,2
2.36,60.6,2
0.384,66.92,3
6.808,59.52,1
3.752,62.92,2
8.36,53.4,0
7.432,51.08,0
0,77.56,4
5.64,56.6,1
2.816,61.36,2
0,80.36,4
6.76,59.4,1
3.44,62.4,2
8.376,53.44,0
0,78.76,4
6.728,59.32,1
4.088,63.48,2
